#   XYZ data converted from README.txt
#  https://sites.uef.fi/spectral/munsell-colors-glossy-all-spectrofotometer-measured/
#  adapted to Illuminant E for simplicity

"X" "Y" "Z"
"2.5Y5/4" 20.1590554780436 19.4325466805444 8.60768690254323
"2.5Y5/6" 20.6386153580114 19.490348475879 5.09110240101101
"2.5Y5/8" 21.0278686672956 19.5286751190908 2.90111129144343
"2.5Y6/2" 29.7151480619484 29.4202927370156 20.9102800067756
"2.5Y6/4" 30.2631991737968 29.513961186155 14.7559995132803
"2.5Y6/6" 30.8740824995986 29.5951715864838 9.69018739633129
"2.5Y6/8" 31.4840572417354 29.6581903257662 6.02950638752585
"2.5Y6/10" 31.9353380098582 29.7026903559843 3.48543284503826
"2.5Y7/2" 42.3926418066846 42.1376298639757 31.0214627745597
"2.5Y7/4" 43.1518715176982 42.2624732572731 22.8761310259102
"2.5Y7/6" 43.8626128517513 42.3662840697369 16.2610154853134
"2.5Y7/8" 44.4826349340519 42.4489515662346 11.1006879039016
"2.5Y7/10" 45.0997215578341 42.5176157726659 7.01753271721939
"2.5Y7/12" 45.6539966626187 42.5691251070261 4.13620566109523
"2.5Y8/2" 58.0096278050775 57.8110187023237 43.5931517187403
"2.5Y8/4" 58.684049493446 57.9596686800736 33.4379514759687
"2.5Y8/6" 59.5029988042207 58.0935780026871 24.7102387761478
"2.5Y8/8" 60.3728799018624 58.2045426727334 17.8583569557992
"2.5Y8/10" 61.2143042344642 58.297263291863 12.3608678185254
"2.5Y8/12" 61.9285618161426 58.3727388720538 7.944184953488
"2.5Y8/14" 62.5453124417571 58.4295461566778 4.77737265201365
"2.5Y8/16" 62.9370977022156 58.4673212373545 2.63507500772975
"2.5Y8.5/2" 67.0937674570303 66.9019620356416 50.816459226401
"2.5Y8.5/4" 67.7344612258006 67.068679700568 39.19682786035
"2.5Y8.5/6" 68.6329817076674 67.2171263719839 29.5030586451577
"2.5Y8.5/8" 69.5564550032548 67.3423428333509 21.6555359839981
